link,t,x,delta_t,delta_x,q,k,v
link2,0,100.0,120,100.0,0.0,0.0,20.0
link2,0,200.0,120,100.0,0.0,0.0,20.0
link2,0,300.0,120,100.0,0.0,0.0,20.0
link2,0,400.0,120,100.0,0.0,0.0,20.0
link2,0,500.0,120,100.0,0.0,0.0,20.0
link2,0,600.0,120,100.0,0.0,0.0,20.0
link2,0,700.0,120,100.0,0.0,0.0,20.0
link2,0,800.0,120,100.0,0.0,0.0,20.0
link2,0,900.0,120,100.0,0.0,0.0,20.0
link2,120,0.0,120,100.0,0.0,0.0,20.0
link2,120,100.0,120,100.0,0.0,0.0,20.0
link2,120,200.0,120,100.0,0.0,0.0,20.0
link2,120,300.0,120,100.0,0.0,0.0,20.0
link2,120,400.0,120,100.0,0.0,0.0,20.0
link2,120,500.0,120,100.0,0.0,0.0,20.0
link2,120,600.0,120,100.0,0.0,0.0,20.0
link2,120,700.0,120,100.0,0.0,0.0,20.0
link2,120,800.0,120,100.0,0.0,0.0,20.0
link2,120,900.0,120,100.0,0.0,0.0,20.0
link2,240,0.0,120,100.0,0.0,0.0,20.0
link2,240,100.0,120,100.0,0.0,0.0,20.0
link2,240,200.0,120,100.0,0.0,0.0,20.0
link2,240,300.0,120,100.0,0.0,0.0,20.0
link2,240,400.0,120,100.0,0.0,0.0,20.0
link2,240,500.0,120,100.0,0.0,0.0,20.0
link2,240,600.0,120,100.0,0.0,0.0,20.0
link2,240,700.0,120,100.0,0.0,0.0,20.0
link2,240,800.0,120,100.0,0.0,0.0,20.0
link2,240,900.0,120,100.0,0.0,0.0,20.0
link2,360,0.0,120,100.0,0.0,0.0,20.0
link2,360,100.0,120,100.0,0.0,0.0,20.0
link2,360,200.0,120,100.0,0.0,0.0,20.0
link2,360,300.0,120,100.0,0.0,0.0,20.0
link2,360,400.0,120,100.0,0.0,0.0,20.0
link2,360,500.0,120,100.0,0.0,0.0,20.0
link2,360,600.0,120,100.0,0.0,0.0,20.0
link2,360,700.0,120,100.0,0.0,0.0,20.0
link2,360,800.0,120,100.0,0.0,0.0,20.0
link2,360,900.0,120,100.0,0.0,0.0,20.0
link2,480,0.0,120,100.0,0.6354166666666666,0.04427083333333333,14.352941176470589
link2,480,100.0,120,100.0,0.6041666666666666,0.030208333333333334,20.0
link2,480,200.0,120,100.0,0.5729166666666666,0.028645833333333336,19.999999999999996
link2,480,300.0,120,100.0,0.5416666666666666,0.027083333333333334,19.999999999999996
link2,480,400.0,120,100.0,0.5,0.025,20.0
link2,480,500.0,120,100.0,0.46875,0.0234375,20.0
link2,480,600.0,120,100.0,0.4375,0.021875,20.0
link2,480,700.0,120,100.0,0.40625,0.0203125,20.0
link2,480,800.0,120,100.0,0.35416666666666663,0.021875,16.19047619047619
link2,480,900.0,120,100.0,0.2916666666666667,0.025,11.666666666666666
link2,600,0.0,120,100.0,0.8020833333333333,0.05416666666666667,14.807692307692307
link2,600,100.0,120,100.0,0.8020833333333333,0.04010416666666667,19.999999999999996
link2,600,200.0,120,100.0,0.78125,0.04322916666666667,18.072289156626503
link2,600,300.0,120,100.0,0.75,0.04895833333333333,15.319148936170214
link2,600,400.0,120,100.0,0.6458333333333333,0.06770833333333333,9.538461538461538
link2,600,500.0,120,100.0,0.5416666666666666,0.08958333333333333,6.046511627906976
